id,t,x,y,z
"2760639","0","-0.254535","-0.12441","0.0040477"
"2760640","1","-0.252685","-0.123744","0.0036567"
"2760641","2","-0.250813","-0.123051","0.00327103"
"2760642","3","-0.248898","-0.122303","0.00289599"
"2760643","4","-0.246917","-0.121474","0.00253693"
"2760644","5","-0.244856","-0.120545","0.00219764"
"2760645","6","-0.242726","-0.119531","0.00187583"
"2760646","7","-0.240545","-0.118454","0.00156766"
"2760647","8","-0.238331","-0.117338","0.00126932"
"2760648","9","-0.236102","-0.116206","0.000976982"
"2760649","10","-0.233877","-0.115082","0.000686828"
"2760650","11","-0.231673","-0.113987","0.000395032"
"2760651","12","-0.229505","-0.112941","0.000098639"
"2760652","13","-0.227372","-0.111945","-0.000201848"
"2760653","14","-0.225271","-0.110996","-0.000505058"
"2760654","15","-0.223196","-0.110089","-0.000809621"
"2760655","16","-0.221144","-0.109221","-0.00111417"
"2760656","17","-0.21911","-0.10839","-0.00141732"
"2760657","18","-0.217089","-0.10759","-0.00171772"
"2760658","19","-0.215079","-0.10682","-0.002014"
"2760659","20","-0.213074","-0.106074","-0.00230477"
"2760660","21","-0.211069","-0.105351","-0.00258867"
"2760661","22","-0.209062","-0.104646","-0.00286434"
"2760662","23","-0.207047","-0.103955","-0.0031304"
"2760663","24","-0.205021","-0.103276","-0.00338548"
"2760664","25","-0.202979","-0.102605","-0.00362821"
"2760665","26","-0.200916","-0.101937","-0.00385721"
"2760666","27","-0.198829","-0.101271","-0.00407113"
"2760667","28","-0.196713","-0.100602","-0.00426859"
"2760668","29","-0.194563","-0.0999266","-0.00444822"
"2760669","30","-0.192377","-0.0992415","-0.00460865"
"2760670","31","-0.190149","-0.0985432","-0.00474851"
"2760671","32","-0.187874","-0.0978282","-0.00486642"
"2760672","33","-0.18555","-0.0970929","-0.00496103"
"2760673","34","-0.183171","-0.0963339","-0.00503095"
"2760674","35","-0.180742","-0.0955527","-0.00507521"
"2760675","36","-0.178301","-0.0947713","-0.00509438"
"2760676","37","-0.175893","-0.0940153","-0.00509005"
"2760677","38","-0.173578","-0.0933022","-0.00507203"
"2760678","39","-0.171449","-0.0926384","-0.00506912"
"2760679","40","-0.169551","-0.0920103","-0.00509658"
"2760680","41","-0.167857","-0.0913922","-0.00515421"
"2760681","42","-0.166328","-0.0907556","-0.00524451"
"2760682","43","-0.16492","-0.0900709","-0.0053768"
"2760683","44","-0.163597","-0.0893123","-0.00556232"
"2760684","45","-0.162315","-0.0884519","-0.00579285"
"2760685","46","-0.161019","-0.0874583","-0.00604401"
"2760686","47","-0.159663","-0.0863093","-0.00630014"
"2760687","48","-0.158228","-0.0849984","-0.00656529"
"2760688","49","-0.156703","-0.0835309","-0.00684669"
"2760689","50","-0.155083","-0.0819217","-0.00715427"
"2760690","51","-0.153362","-0.0801895","-0.00749861"
"2760691","52","-0.151537","-0.0783564","-0.00788964"
"2760692","53","-0.149609","-0.0764436","-0.00833263"
"2760693","54","-0.147578","-0.0744623","-0.00881528"
"2760694","55","-0.145454","-0.0724212","-0.00932264"
"2760695","56","-0.143252","-0.070329","-0.00984028"
"2760696","57","-0.140986","-0.0681973","-0.0103539"
"2760697","58","-0.138676","-0.0660506","-0.0108503"
"2760698","59","-0.13634","-0.0639203","-0.0113196"
"2760699","60","-0.133992","-0.0618369","-0.0117569"
"2760700","61","-0.131648","-0.0598285","-0.0121671"
"2760701","62","-0.129316","-0.0579136","-0.0125564"
"2760702","63","-0.127008","-0.056097","-0.0129268"
"2760703","64","-0.124737","-0.0543811","-0.0132798"
"2760704","65","-0.122513","-0.052768","-0.0136166"
"2760705","66","-0.120351","-0.0512576","-0.01394"
"2760706","67","-0.118268","-0.0498383","-0.0142561"
"2760707","68","-0.116271","-0.0484876","-0.0145649"
"2760708","69","-0.114356","-0.0471778","-0.0148683"
"2760709","70","-0.112518","-0.0458819","-0.0151686"
"2760710","71","-0.11074","-0.0445776","-0.0154719"
"2760711","72","-0.109016","-0.0432456","-0.0157855"
"2760712","73","-0.107343","-0.0418705","-0.0161179"
"2760713","74","-0.105732","-0.0404387","-0.0164803"
"2760714","75","-0.10419","-0.0389389","-0.0168844"
"2760715","76","-0.102724","-0.0373679","-0.0173424"
"2760716","77","-0.101338","-0.0357255","-0.017865"
"2760717","78","-0.100025","-0.0340144","-0.0184577"
"2760718","79","-0.0987695","-0.0322412","-0.0191256"
"2760719","80","-0.0975514","-0.0304133","-0.0198741"
"2760720","81","-0.0963507","-0.028538","-0.0207062"
"2760721","82","-0.0951423","-0.0266247","-0.0216141"
"2760722","83","-0.0938992","-0.0246904","-0.0225828"
"2760723","84","-0.0925971","-0.022754","-0.0235922"
"2760724","85","-0.0912184","-0.0208339","-0.0246253"
"2760725","86","-0.0897528","-0.0189456","-0.025668"
"2760726","87","-0.0882067","-0.0171","-0.026706"
"2760727","88","-0.0865913","-0.0153068","-0.0277227"
"2760728","89","-0.0849207","-0.013574","-0.0286926"
"2760729","90","-0.0832106","-0.0119083","-0.029589"
"2760730","91","-0.0814789","-0.0103116","-0.0303909"
"2760731","92","-0.0797493","-0.00878308","-0.0310899"
"2760732","93","-0.0780451","-0.0073178","-0.0316905"
"2760733","94","-0.0763844","-0.00590834","-0.0322019"
"2760734","95","-0.0747823","-0.0045468","-0.0326341"
"2760735","96","-0.0732459","-0.00322558","-0.0329971"
"2760736","97","-0.0717728","-0.00193804","-0.0332956"
"2760737","98","-0.070358","-0.00067783","-0.0335329"
