id,t,x,y,z
"18715868","0","-0.229198","0.0922806","-0.0873773"
"18715869","1","-0.228035","0.0940004","-0.0872083"
"18715870","2","-0.226885","0.0957663","-0.0869994"
"18715871","3","-0.22574","0.0976579","-0.0867132"
"18715872","4","-0.22458","0.0997532","-0.0863163"
"18715873","5","-0.223407","0.102091","-0.0857837"
"18715874","6","-0.222251","0.104652","-0.0851043"
"18715875","7","-0.221167","0.107366","-0.0842883"
"18715876","8","-0.220215","0.110124","-0.0833698"
"18715877","9","-0.219451","0.11279","-0.0824157"
"18715878","10","-0.218914","0.115209","-0.0815233"
"18715879","11","-0.218603","0.117377","-0.0807191"
"18715880","12","-0.218489","0.119382","-0.0799595"
"18715881","13","-0.218523","0.121323","-0.07916"
"18715882","14","-0.218647","0.123254","-0.078223"
"18715883","15","-0.218793","0.125168","-0.0770398"
"18715884","16","-0.218885","0.127","-0.0754839"
"18715885","17","-0.218833","0.128642","-0.0734097"
"18715886","18","-0.218547","0.129982","-0.070676"
"18715887","19","-0.217956","0.13096","-0.0672139"
"18715888","20","-0.21705","0.13166","-0.0631613"
"18715889","21","-0.215899","0.132331","-0.0589073"
"18715890","22","-0.214521","0.133133","-0.0546935"
"18715891","23","-0.212881","0.134118","-0.0506329"
"18715892","24","-0.210927","0.135239","-0.0467524"
"18715893","25","-0.208696","0.1364","-0.0431198"
"18715894","26","-0.206363","0.137529","-0.0398844"
"18715895","27","-0.203954","0.138652","-0.0370033"
"18715896","28","-0.201376","0.13982","-0.0343044"
"18715897","29","-0.198535","0.141044","-0.0315997"
"18715898","30","-0.195348","0.142306","-0.0287394"
"18715899","31","-0.191757","0.143578","-0.0256376"
"18715900","32","-0.187769","0.144824","-0.0222896"
"18715901","33","-0.183597","0.145988","-0.0188596"
"18715902","34","-0.179689","0.147013","-0.0156832"
"18715903","35","-0.176265","0.1479","-0.0129187"
"18715904","36","-0.173311","0.148702","-0.0105385"
"18715905","37","-0.170684","0.149478","-0.00840798"
"18715906","38","-0.168199","0.150215","-0.00634703"
"18715907","39","-0.165707","0.150874","-0.00420333"
"18715908","40","-0.163131","0.151425","-0.00188139"
"18715909","41","-0.160467","0.151863","0.000648956"
"18715910","42","-0.157753","0.152203","0.00338038"
"18715911","43","-0.155061","0.152488","0.00625801"
"18715912","44","-0.152467","0.152763","0.00921313"
"18715913","45","-0.150032","0.153051","0.0121786"
"18715914","46","-0.147796","0.153355","0.0150669"
"18715915","47","-0.145795","0.153634","0.0177936"
"18715916","48","-0.144061","0.153792","0.0202878"
"18715917","49","-0.142607","0.153689","0.02249"
"18715918","50","-0.141449","0.153219","0.0243484"
"18715919","51","-0.140558","0.152382","0.0258626"
"18715920","52","-0.139817","0.151315","0.0271194"
"18715921","53","-0.139122","0.150151","0.0281975"
"18715922","54","-0.138413","0.148958","0.0291317"
"18715923","55","-0.137666","0.147745","0.0299275"
"18715924","56","-0.136869","0.146482","0.0306023"
"18715925","57","-0.136021","0.145117","0.0311654"
"18715926","58","-0.13512","0.1436","0.0316436"
"18715927","59","-0.134167","0.141883","0.0320535"
"18715928","60","-0.133165","0.139934","0.0323975"
"18715929","61","-0.132119","0.137758","0.0326892"
"18715930","62","-0.131028","0.135363","0.0329373"
"18715931","63","-0.12988","0.132748","0.033137"
"18715932","64","-0.128654","0.129922","0.0332814"
"18715933","65","-0.12732","0.126875","0.0333495"
"18715934","66","-0.125847","0.123606","0.0333184"
"18715935","67","-0.124234","0.120205","0.0331896"
"18715936","68","-0.122516","0.116866","0.0330033"
"18715937","69","-0.120721","0.113711","0.0327846"
"18715938","70","-0.118855","0.110774","0.0325262"
"18715939","71","-0.116926","0.108052","0.032197"
"18715940","72","-0.114953","0.105548","0.0317612"
"18715941","73","-0.112977","0.103291","0.0311823"
"18715942","74","-0.111084","0.101329","0.0304517"
"18715943","75","-0.109386","0.099674","0.0296008"
"18715944","76","-0.107889","0.098244","0.0286237"
"18715945","77","-0.106531","0.0969198","0.027514"
"18715946","78","-0.105244","0.0956142","0.0263113"
"18715947","79","-0.103981","0.0942835","0.025038"
"18715948","80","-0.102729","0.0929166","0.0237202"
"18715949","81","-0.101503","0.0915241","0.022388"
"18715950","82","-0.100326","0.0901238","0.0210697"
"18715951","83","-0.0992238","0.0887305","0.019791"
"18715952","84","-0.0982112","0.0873525","0.0185788"
"18715953","85","-0.0972963","0.0859922","0.0174605"
"18715954","86","-0.0964781","0.0846431","0.0164596"
"18715955","87","-0.0957462","0.0832921","0.0155864"
"18715956","88","-0.0950769","0.0819253","0.0148208"
"18715957","89","-0.0944333","0.0805303","0.0141034"
"18715958","90","-0.093784","0.0790933","0.0133785"
"18715959","91","-0.0931169","0.0775985","0.0126295"
"18715960","92","-0.092443","0.0760274","0.0118949"
"18715961","93","-0.091784","0.0743604","0.0112346"
"18715962","94","-0.091159","0.0725781","0.0106928"
"18715963","95","-0.0905752","0.0706633","0.0102734"
"18715964","96","-0.0900249","0.0686059","0.00993087"
"18715965","97","-0.0894979","0.0664007","0.00961233"
"18715966","98","-0.088989","0.0640446","0.00928472"
"18715967","99","-0.088502","0.0615354","0.00895402"
"18715968","100","-0.0880511","0.0588719","0.00866638"
"18715969","101","-0.0876469","0.0560586","0.00846262"
"18715970","102","-0.0872851","0.0531073","0.00834063"
"18715971","103","-0.0869569","0.0500312","0.00827983"
"18715972","104","-0.0866547","0.046843","0.00825941"
"18715973","105","-0.0863633","0.0435561","0.00823765"
"18715974","106","-0.0860687","0.0401848","0.00816987"
"18715975","107","-0.085767","0.0367458","0.00802413"
"18715976","108","-0.0854663","0.033268","0.00778316"
"18715977","109","-0.0851787","0.0297758","0.00743728"
"18715978","110","-0.0849158","0.0262829","0.00698021"
"18715979","111","-0.0846861","0.0227982","0.00641398"
