x,y,vel_x,vel_y
-0.234766,0.144594,0.0468634,0.00555227
-0.234297,0.144649,0.0468309,0.00539763
-0.233838,0.1447,0.0443568,0.0045039
-0.233433,0.144775,0.0350966,0.0143189
-0.233148,0.145038,0.0219753,0.0396374
-0.232978,0.145567,0.0134161,0.064554
-0.232856,0.146299,0.012117,0.080455
-0.232719,0.147138,0.0160218,0.0850845
-0.23253,0.147969,0.0216962,0.0801037
-0.232295,0.148731,0.0242801,0.0724221
-0.232074,0.149423,0.0178032,0.0666051
-0.231971,0.15006,0.00156579,0.05969
-0.232056,0.150593,-0.0187367,0.0456057
-0.232334,0.15095,-0.0352593,0.0250292
-0.23274,0.151068,-0.045352,-0.0031318
-0.233227,0.15085,-0.0512975,-0.0424082
-0.233746,0.150191,-0.0512845,-0.0905639
-0.234212,0.149045,-0.0390585,-0.136946
-0.234489,0.147484,-0.0154135,-0.173735
-0.234518,0.145622,0.00870661,-0.1951
-0.234331,0.143635,0.0280817,-0.200556
-0.233974,0.14164,0.0421859,-0.197091
-0.233526,0.139734,0.0447316,-0.181376
-0.233122,0.138058,0.034727,-0.152238
-0.232847,0.136706,0.0199352,-0.117991
-0.232719,0.135683,0.00641046,-0.0880328
-0.232704,0.134917,-0.00248501,-0.0665677
-0.232754,0.134334,-0.00709895,-0.050661
-0.232839,0.133903,-0.0097758,-0.0350333
-0.232949,0.133648,-0.0123583,-0.0147558
-0.233091,0.133636,-0.0163189,0.014028
-0.233283,0.133962,-0.0224402,0.0525828
-0.233543,0.134711,-0.0295288,0.0981925
-0.233862,0.135922,-0.0332615,0.142827
-0.234171,0.137501,-0.0259007,0.167504
-0.234348,0.139194,-0.00895058,0.168672
-0.234335,0.140824,0.0125637,0.154483
-0.234084,0.142241,0.0378472,0.127543
-0.233586,0.143368,0.0607489,0.098717
-0.232914,0.144263,0.0703689,0.0842035
-0.232234,0.145114,0.0634923,0.0880881
-0.231678,0.14605,0.0464407,0.0995288
-0.23132,0.147086,0.0248734,0.105576
-0.231178,0.148119,0.00399206,0.0988531
-0.231228,0.149019,-0.0132081,0.0789338
-0.23142,0.149667,-0.0237109,0.0498141
-0.231676,0.150007,-0.0264534,0.0181306
-0.231938,0.150032,-0.0258147,-0.0127787
-0.232189,0.14976,-0.0242906,-0.0411462
-0.232409,0.149227,-0.0183198,-0.0640238
-0.232533,0.148497,-0.00559803,-0.0814908
-0.232504,0.147613,0.0122304,-0.0944031
-0.232275,0.14662,0.0343016,-0.104031
-0.231808,0.145532,0.0593186,-0.113622
-0.231099,0.144359,0.0811681,-0.119888
-0.230202,0.143145,0.0977685,-0.123021
-0.229155,0.141898,0.110911,-0.126406
-0.228016,0.140638,0.114454,-0.12362
-0.226906,0.139456,0.105982,-0.111689
